# Packages matching: installed
# Name                     # Installed # Synopsis
angstrom                   0.15.0      Parser combinators built for speed and memory-efficiency
astring                    0.8.5       Alternative String module for OCaml
async                      v0.14.0     Monadic concurrency library
async_kernel               v0.14.0     Monadic concurrency library
async_rpc_kernel           v0.14.0     Platform-independent core of Async RPC library
async_unix                 v0.14.0     Monadic concurrency library
bap-abi                    2.5.0       BAP ABI integration subsystem
bap-analyze                2.5.0       Implements the analyze command
bap-api                    2.5.0       A pass that adds parameters to subroutines based on known API
bap-arm                    2.5.0       BAP ARM lifter and disassembler
bap-beagle                 2.5.0       BAP obfuscated string solver
bap-beagle-strings         2.5.0       Finds strings of characters using microexecution
bap-bil                    2.5.0       Controls the BIL transformation pipeline
bap-build                  2.5.0       BAP build automation tools
bap-bundle                 2.5.0       BAP bundler
bap-byteweight             2.5.0       BAP facility for indentifying code entry points
bap-c                      2.5.0       A C language support library for BAP
bap-cache                  2.5.0       BAP caching service
bap-callgraph-collator     2.5.0       Collates programs based on their callgraphs
bap-callsites              2.5.0       Inject data definition terms at callsites
bap-constant-tracker       2.5.0       Constant Tracking Analysis based on Primus
bap-core-theory            2.5.0       BAP Semantics Representation
bap-cxxfilt                2.5.0       A demangler that relies on a c++filt utility
bap-demangle               2.5.0       Provides names service and demangling facilities
bap-dependencies           2.5.0       Analyzes program dependencies
bap-disassemble            2.5.0       Implements the disassemble command
bap-dump-symbols           2.5.0       BAP plugin that dumps symbols information from a binary
bap-elementary             2.5.0       BAP floating point approximations of elementary functions
bap-emacs-dot              0.1         Will automatically detect graph specifications in a dot syntax and display them using overlaying
bap-emacs-goodies          0.1         A collection of useful Emacs tools for BAP
bap-emacs-mode             0.1         Emacs major mode for reading and analyzing programs in BAP's IR
bap-flatten                2.5.0       A BAP plugin, that translates a program into the flatten form
bap-frontc                 2.5.0       A C language frontend for based on FrontC library
bap-frontend               2.5.0       BAP frontend
bap-future                 2.5.0       A library for asynchronous values
bap-glibc-runtime          2.5.0       Detects the presence of glibc runtime
bap-knowledge              2.5.0       Knowledge Representation Library
bap-main                   2.5.0       Build BAP Main Framework Configuration Library
bap-mc                     2.5.0       BAP machine instruction playground
bap-microx                 2.5.0       A micro execution framework
bap-objdump                2.5.0       Extract symbols from binary, using binutils objdump
bap-optimization           2.5.0       A BAP plugin that removes dead IR code
bap-patterns               2.5.0       Applies semantic actions to the matching byte patterns
bap-plugins                2.5.0       BAP plugins support library
bap-powerpc                2.5.0       BAP PowerPC lifter
bap-primus                 2.5.0       The BAP Microexecution Framework
bap-primus-dictionary      2.5.0       BAP Primus Lisp library that provides dictionaries
bap-primus-lisp            2.5.0       BAP Primus Lisp Runtime
bap-primus-loader          2.5.0       Generic program loader for Primus
